kind,source_section_id,source_node_id,target_section_id,target_node_id,node_name,source_size,target_size,status
responsive,444:3050,444:3989,453:10333,453:11496,NativeEditable/430x932/P2-01 P2-01 Rescue Home,430x932,430x932,MATCH
responsive,453:7374,453:7378,453:10333,462:5,NativeEditable/W3-CAN-P1-01-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7395,453:10333,462:22,NativeEditable/W3-CAN-P1-02-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7421,453:10333,462:45,NativeEditable/W3-CAN-P1-03-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7449,453:10333,462:70,NativeEditable/W3-CAN-P1-04-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7481,453:10333,462:99,NativeEditable/W3-CAN-P1-05-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7542,453:10333,462:157,NativeEditable/W3-CAN-P1-06-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7594,453:10333,462:206,NativeEditable/W3-CAN-P1-07-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7685,453:10333,462:294,NativeEditable/W3-CAN-P1-08-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7786,453:10333,462:392,NativeEditable/W3-CAN-P1-09-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7872,453:10333,462:475,NativeEditable/W3-CAN-P1-10-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7924,453:10333,462:524,NativeEditable/W3-CAN-P1-11-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7975,453:10333,462:572,NativeEditable/W3-CAN-P1-12-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8065,453:10333,462:659,NativeEditable/W3-CAN-P1-13-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8125,453:10333,462:716,NativeEditable/W3-CAN-P1-14-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8236,453:10333,462:824,NativeEditable/W3-CAN-P1-15-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8308,453:10333,462:893,NativeEditable/W3-CAN-P1-16-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8384,453:10333,462:966,NativeEditable/W3-CAN-P2-01-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8449,453:10333,462:1028,NativeEditable/W3-CAN-P2-02-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8498,453:10333,462:1074,NativeEditable/W3-CAN-P2-03-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8536,453:10333,462:1109,NativeEditable/W3-CAN-P2-04-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8572,453:10333,462:1142,NativeEditable/W3-CAN-P2-05-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8638,453:10333,462:1205,NativeEditable/W3-CAN-P2-06-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8687,453:10333,462:1251,NativeEditable/W3-CAN-P2-07-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8740,453:10333,462:1301,NativeEditable/W3-CAN-P2-08-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8824,453:10333,462:1382,NativeEditable/W3-CAN-P2-09-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8889,453:10333,462:1444,NativeEditable/W3-CAN-P2-10-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8941,453:10333,462:1493,NativeEditable/W3-CAN-P2-11-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:8983,453:10333,462:1532,NativeEditable/W3-CAN-P2-12-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9029,453:10333,462:1575,NativeEditable/W3-CAN-P2-13-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9121,453:10333,462:1664,NativeEditable/W3-CAN-P2-14-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9164,453:10333,462:1704,NativeEditable/W3-CAN-P2-15-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9207,453:10333,462:1744,NativeEditable/W3-CAN-P2-16-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9289,453:10333,462:1823,NativeEditable/W3-CAN-ST-01-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9330,453:10333,462:1861,NativeEditable/W3-CAN-ST-02-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9382,453:10333,462:1910,NativeEditable/W3-CAN-ST-03-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9442,453:10333,462:1967,NativeEditable/W3-CAN-ST-04-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9487,453:10333,462:2009,NativeEditable/W3-CAN-ST-05-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9543,453:10333,462:2062,NativeEditable/W3-CAN-ST-06-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9598,453:10333,462:2114,NativeEditable/W3-CAN-ST-07-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9608,453:10333,462:2121,NativeEditable/W3-CAN-ST-08-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9638,453:10333,462:2148,NativeEditable/W3-CAN-ST-09-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9661,453:10333,462:2168,NativeEditable/W3-CAN-ST-10-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9699,453:10333,462:2203,NativeEditable/W3-CAN-ST-11-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9758,453:10333,462:2259,NativeEditable/W3-CAN-ST-12-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9808,453:10333,462:2306,NativeEditable/W3-CAN-ST-13-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9851,453:10333,462:2346,NativeEditable/W3-CAN-ST-14-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9879,453:10333,462:2371,NativeEditable/W3-CAN-ST-15-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9923,453:10333,462:2412,NativeEditable/W3-CAN-ST-16-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:9978,453:10333,462:2464,NativeEditable/W3-CAN-ST-17-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:10009,453:10333,462:2492,NativeEditable/W3-CAN-ST-18-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:10064,453:10333,462:2544,NativeEditable/W3-CAN-ST-19-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:10104,453:10333,462:2581,NativeEditable/W3-CAN-ST-20-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:10141,453:10333,462:2615,NativeEditable/W3-CAN-ST-21-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:10165,453:10333,462:2636,NativeEditable/W3-CAN-ST-22-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:10211,453:10333,462:2679,NativeEditable/W3-CAN-ST-23-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:10288,453:10333,462:2753,NativeEditable/W3-CAN-ST-24-390x844,390x844,390x844,W3_EXECUTED_PASS
responsive,453:7374,453:7378,453:10333,462:2796,NativeEditable/W3-RESP-P1-01-360x800,390x844,360x800,W3_EXECUTED_PASS
responsive,453:7374,453:7378,453:10333,462:2813,NativeEditable/W3-RESP-P1-01-412x915,390x844,412x915,W3_EXECUTED_PASS
responsive,453:7374,453:7378,453:10333,462:2830,NativeEditable/W3-RESP-P1-01-430x932,390x844,430x932,W3_EXECUTED_PASS
responsive,453:7374,453:8983,453:10333,462:2847,NativeEditable/W3-RESP-P2-12-360x800,390x844,360x800,W3_EXECUTED_PASS
responsive,453:7374,453:8983,453:10333,462:2890,NativeEditable/W3-RESP-P2-12-412x915,390x844,412x915,W3_EXECUTED_PASS
responsive,453:7374,453:8983,453:10333,462:2933,NativeEditable/W3-RESP-P2-12-430x932,390x844,430x932,W3_EXECUTED_PASS
